instruction,input,output
"Reset my password",,"To reset your password, please visit https://perimeter.ai/reset and enter your email address."
"Summarize this email","From: john.doe@example.com\nSubject: Meeting\n\nHi team, let's meet at 2pm tomorrow to discuss the roadmap.","The sender, John Doe, wants to schedule a roadmap meeting for tomorrow at 2pm."
"Extract entity","My name is Sarah Connor and my phone number is 555-0199.","Name: Sarah Connor\nPhone: 555-0199"
"Write a python function to add two numbers",,"def add(a, b):\n    return a + b"
"Help me with my order","I ordered order #12345 yesterday but haven't received confirmation.","I can help with that. Please verify your email address so I can check order #12345."
"Translate to Spanish","Where is the library?","¿Dónde está la biblioteca?"
"Parsing error","Log: 2023-10-27 Error: Connection timeout at 192.168.1.5","The log indicates a connection timeout occurred at IP 192.168.1.5 on 2023-10-27."
"PII Test - Email","Please contact support@company.com for assistance.","You can reach out to support@company.com."
"PII Test - Phone","Call me at (555) 123-4567 immediately.","I will call (555) 123-4567 shortly."
"Explain quantum computing",,"Quantum computing uses quantum bits (qubits) which can exist in multiple states simultaneously, unlike classical bits."
"Fix this code","const x = 5;\nx = 6;","If `x` is declared with `const`, it cannot be reassigned. Use `let` instead:\n\n`let x = 5;\nx = 6;`"
"Schedule an appointment","I want to see Dr. Smith on Friday.","I have scheduled you with Dr. Smith for this Friday."
"Refund request","My transaction ID is TXN-998877. I want a refund.","I've located transaction TXN-998877. processing your refund now."
"Generate a sql query","Select all users who joined after 2022.","SELECT * FROM users WHERE join_date > '2022-12-31';"
"Sentiment analysis","I absolutely love this product! It's amazing.","Positive"
"Sentiment analysis","This is the worst service I've ever had.","Negative"
"PII Test - Mixed","My address is 123 Maple St and email is alice@test.org","Received: Address 123 Maple St, Email alice@test.org"
"Recipe idea","I have eggs, bacon, and cheese.","You can make a delicious omelet or a breakfast sandwich."
"Capital of France",,"The capital of France is Paris."
"Debug info","Exception in thread 'main' java.lang.NullPointerException","A NullPointerException usually means you are trying to use an object reference that has not been initialized."
"Customer Feedback","User: Mike Ross (mike.ross@pearson-hardman.com)\nComment: Great UI!","Thank you Mike for the feedback!"
